Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Lost_Stock,CivilianCasualty,Log_CivilianCasualty
Prnjavor,2014,95.23083491,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,1.193465492,0.040378281,-3.209463238
Derventa,2006,92.28676086,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,44.43223228,0.285011241,-1.255226657
Derventa,2010,95.55187942,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,44.43223228,0.285011241,-1.255226657
Derventa,2014,94.76813317,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,44.43223228,0.285011241,-1.255226657
Bosanski Brod,2006,91.8265221,1.801511512,0.588626041,0.277126913,0.344294979,0.375668618,145.8888889,51887.98406,32.24219345,1039.559038,6.321401371,0.234342961,35.27777778,0.424746617,-0.856262483
Bosanski Brod,2010,82.3255814,1.801511512,0.588626041,0.277126913,0.344294979,0.375668618,145.8888889,51887.98406,32.24219345,1039.559038,6.321401371,0.234342961,35.27777778,0.424746617,-0.856262483
Bosanski Brod,2014,93.26498144,1.801511512,0.588626041,0.277126913,0.344294979,0.375668618,145.8888889,51887.98406,32.24219345,1039.559038,6.321401371,0.234342961,35.27777778,0.424746617,-0.856262483
Brcko,2006,78.85705484,1.894393281,0.638898619,0.366000166,0.372424193,0.232811708,177.7423935,20489.66643,30.61292752,937.1513315,7.433781825,0.388008262,29.47532103,0.57630639,-0.551115833
Brcko,2010,71.4263318,1.894393281,0.638898619,0.366000166,0.372424193,0.232811708,177.7423935,20489.66643,30.61292752,937.1513315,7.433781825,0.388008262,29.47532103,0.57630639,-0.551115833
Brcko,2014,81.56740957,1.894393281,0.638898619,0.366000166,0.372424193,0.232811708,177.7423935,20489.66643,30.61292752,937.1513315,7.433781825,0.388008262,29.47532103,0.57630639,-0.551115833
Bijeljina,2006,93.41086237,1.074359715,0.07172487,0.4950979,0.306767423,0.586725824,132.1362398,18827.48381,32.9360591,1084.783989,9.349610261,0.123726647,2.107665458,0.27941601,-1.275053532
Bijeljina,2010,92.55008433,1.074359715,0.07172487,0.4950979,0.306767423,0.586725824,132.1362398,18827.48381,32.9360591,1084.783989,9.349610261,0.123726647,2.107665458,0.27941601,-1.275053532
Bijeljina,2014,94.13096383,1.074359715,0.07172487,0.4950979,0.306767423,0.586725824,132.1362398,18827.48381,32.9360591,1084.783989,9.349610261,0.123726647,2.107665458,0.27941601,-1.275053532
Banja Luka,2006,95.61959732,0.919812767,-0.083585144,0.46152163,0.14713888,0.46094542,157.9435028,31953.16109,32.56276445,1060.333628,5.157594587,0.045990638,0.506642502,0.085849192,-2.455163103
Banja Luka,2010,94.1109159,0.919812767,-0.083585144,0.46152163,0.14713888,0.46094542,157.9435028,31953.16109,32.56276445,1060.333628,5.157594587,0.045990638,0.506642502,0.085849192,-2.455163103
