"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"1038",1039,2,2,20,0,3,4,NA,0,15,100,30,1,NA
"1040",1041,2,2,53,1,7,3,NA,0,0,85,30,1,NA
"1042",1043,2,2,41,1,NA,NA,0,0,0,100,0,1,NA
"1043",1044,2,2,39,1,NA,NA,0,0,60,100,60,1,9
"1044",1045,2,2,45,0,3,2,NA,NA,60,60,70,3,2
"1045",1046,2,2,19,0,NA,NA,0,0,40,55,40,3,NA
"1046",1047,2,2,37,1,NA,NA,0,0,0,85,0,1,6
"1047",1048,2,2,68,1,NA,NA,4,0,15,100,15,3,NA
"1048",1049,2,2,88,1,0,0,NA,0,70,60,30,1,NA
"1049",1050,2,2,51,0,1,0,NA,0,30,60,30,3,10
"1050",1051,2,2,19,0,NA,NA,2,0,15,70,0,1,NA
"1051",1052,2,2,23,0,1,1,NA,0,0,85,50,1,14
"1052",1053,2,2,90,1,NA,NA,0,0,30,70,30,1,NA
"1053",1054,2,2,43,0,NA,NA,0,0,0,85,15,1,12
"1054",1055,2,2,63,1,4,0,NA,0,0,85,0,1,NA
"1055",1056,2,2,54,1,NA,NA,0,0,0,85,0,3,18
"1058",1059,2,2,65,1,NA,NA,0,0,0,90,0,1,NA
"1059",1060,2,2,63,1,NA,NA,0,0,30,70,50,1,19
"1060",1061,2,2,85,1,NA,NA,0,0,60,70,50,1,17
"1061",1062,2,2,51,1,NA,NA,0,0,0,100,0,1,NA
"1062",1063,2,2,55,1,7,0,NA,0,0,100,0,1,NA
"1063",1064,2,2,53,1,0,0,NA,0,0,70,15,1,NA
"1064",1065,2,2,25,1,1,2,NA,0,30,100,30,1,7
"1065",1066,2,2,85,0,NA,NA,0,0,0,100,50,1,NA
"1066",1067,2,2,36,1,1,5,NA,0,15,85,30,1,17
"1067",1068,2,2,83,1,NA,NA,0,0,60,70,60,1,NA
"1068",1069,2,2,56,1,NA,NA,7,0,0,85,0,1,NA
"1069",1070,2,2,60,1,7,0,NA,0,15,85,15,1,NA
"1070",1071,2,2,82,1,NA,NA,0,0,40,30,50,3,NA
"1071",1072,2,2,39,1,NA,NA,7,0,0,100,15,1,12
"1073",1074,2,2,39,1,NA,NA,0,0,0,100,0,1,9
"1078",1079,2,2,24,NA,NA,NA,7,0,50,60,40,2,NA
"1093",1094,2,2,27,1,5,0,NA,0,50,100,60,1,NA
"1094",1095,2,2,87,1,7,7,NA,NA,50,90,75,1,NA
"1095",1096,2,2,50,1,NA,NA,0,0,0,85,0,1,13
"1104",1105,2,2,40,0,3,0,NA,0,50,60,50,3,NA
"1114",1115,2,2,40,1,4,2,NA,0,40,85,15,1,NA
"1132",1133,2,2,31,1,2,7,NA,0,0,85,60,1,18
"1133",1134,2,2,51,NA,NA,NA,0,0,70,85,50,1,7
"1134",1135,2,2,45,1,7,7,NA,0,15,85,30,3,19
"1135",1136,2,2,47,1,NA,NA,7,NA,60,85,60,1,17
"1136",1137,2,2,33,0,0,0,NA,0,0,100,15,1,19
"1137",1138,2,2,21,0,NA,NA,7,0,0,100,30,1,15
"1138",1139,2,2,29,1,7,3,NA,0,40,85,50,3,NA
"1139",1140,2,2,39,1,NA,NA,3,0,15,100,30,3,NA
"1140",1141,2,2,42,1,7,0,NA,0,15,100,15,1,12
"1141",1142,2,2,61,1,1,5,NA,0,15,85,40,1,NA
"1142",1143,2,2,56,1,7,4,NA,0,0,100,0,1,NA
"1143",1144,2,2,67,1,7,4,NA,0,0,100,0,1,NA
"1144",1145,2,2,67,0,NA,NA,0,0,15,100,40,1,NA
"1145",1146,2,2,38,1,3,1,NA,0,0,100,15,1,NA
"1146",1147,2,2,41,0,NA,NA,3,0,0,100,15,1,9
"1147",1148,2,2,70,1,5,7,NA,0,15,100,0,1,NA
"1148",1149,2,2,28,1,3,2,NA,0,15,100,85,1,7
"1149",1150,2,2,20,1,2,1,NA,0,15,100,15,1,11
"1150",1151,2,2,37,1,7,4,NA,0,0,100,0,1,NA
"1151",1152,2,2,47,0,5,0,NA,0,50,50,50,5,7
"1152",1153,2,2,60,1,7,0,NA,0,50,50,50,1,NA
"1154",1155,2,2,29,0,3,3,NA,0,25,100,0,1,12
"1155",1156,2,2,44,0,NA,NA,0,0,70,70,60,1,6
"1156",1157,2,2,25,0,2,6,NA,0,70,85,50,1,3
"1157",1158,2,2,66,1,NA,NA,0,0,85,85,70,1,NA
"1158",1159,2,2,18,0,NA,NA,0,0,15,100,70,2,5
"1159",1160,2,2,64,1,7,0,NA,0,40,85,30,1,NA
"1160",1161,2,2,53,1,NA,NA,0,0,0,85,30,3,1
"1161",1162,2,2,24,0,NA,NA,7,1,70,100,50,3,NA
"1162",1163,2,2,35,0,5,1,NA,0,50,85,50,1,NA
"1163",1164,2,2,65,0,7,1,NA,0,40,100,30,1,NA
"1164",1165,2,2,36,0,0,0,NA,0,50,50,50,3,17
"1174",1175,2,2,42,0,NA,NA,7,0,50,85,40,1,14
"1177",1178,2,2,64,1,NA,NA,0,0,70,85,60,1,11
"1180",1181,2,2,56,0,NA,NA,2,0,0,70,50,5,NA
"1182",1183,2,2,25,1,2,7,NA,0,60,85,60,1,NA
"1183",1184,2,2,56,1,NA,NA,0,0,50,70,50,1,16
"1185",1186,2,2,40,1,1,1,NA,NA,40,70,30,3,NA
"1197",1198,2,2,62,1,NA,NA,0,0,0,100,0,1,16
"1198",1199,2,2,69,1,NA,NA,0,0,15,85,70,1,11
"1199",1200,2,2,20,0,NA,NA,2,0,0,100,0,1,8
"1200",1201,2,2,32,1,2,2,NA,0,0,100,60,1,NA
"1201",1202,2,2,38,1,7,4,NA,0,50,85,60,3,5
"1202",1203,2,2,80,1,7,6,NA,0,0,100,40,1,13
"1203",1204,2,2,34,1,NA,NA,1,0,0,100,15,1,19
"1204",1205,2,2,28,1,NA,NA,7,0,70,100,85,3,18
"1206",1207,2,2,53,1,NA,NA,4,0,15,100,30,3,20
"1207",1208,2,2,52,1,NA,NA,0,0,30,85,50,1,9
"1209",1210,2,2,53,1,7,2,NA,0,40,85,50,1,20
"1210",1211,2,2,76,1,NA,NA,7,0,40,70,40,1,NA
"1212",1213,2,2,36,1,5,2,NA,0,0,100,0,1,19
"1214",1215,2,1,18,0,NA,NA,3,0,0,85,15,1,11
"1215",1216,2,2,41,1,NA,NA,7,0,0,100,0,1,14
"1216",1217,2,2,39,1,7,7,NA,0,40,85,50,1,23
"1218",1219,2,2,51,1,NA,NA,7,0,0,100,60,1,22
"1226",1227,2,2,40,1,3,0,NA,0,15,100,15,1,NA
"1227",1228,2,2,23,1,NA,NA,0,0,40,60,50,1,17
"1232",1233,2,2,46,1,7,7,NA,0,15,85,50,1,17
"1233",1234,2,2,32,1,NA,NA,7,0,40,100,40,1,18
"1235",1236,2,2,45,0,3,7,NA,0,40,85,40,1,2
"1236",1237,2,2,27,1,NA,NA,4,0,15,85,30,1,19
"1248",1249,2,2,36,1,NA,NA,2,0,15,70,15,1,NA
"1313",1314,2,2,52,1,5,6,NA,0,0,85,15,1,13
"1344",1345,2,2,63,1,3,1,NA,0,40,100,70,1,NA
"1406",1407,2,1,53,1,NA,NA,0,0,15,50,40,1,12
"1409",1410,2,1,48,1,NA,NA,2,0,0,100,30,1,25
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1416",1417,2,2,52,0,NA,0,NA,0,NA,60,NA,5,NA
"1417",1418,2,2,NA,1,NA,NA,7,0,0,100,0,1,2
"1419",1420,2,2,NA,NA,4,3,NA,1,10,30,10,5,NA
"1423",1424,2,2,38,1,7,6,NA,0,15,85,40,1,NA
"1426",1427,2,2,65,1,7,3,NA,0,30,60,30,3,NA
"1438",1439,2,2,41,1,NA,NA,3,0,0,100,30,2,24
"1446",1447,2,2,24,0,NA,NA,0,0,50,60,NA,4,NA
"1454",1455,2,2,39,0,7,0,NA,0,40,100,50,1,25
"1477",1478,2,2,40,1,NA,NA,0,0,0,85,60,1,1
"1491",1492,2,2,39,1,3,2,NA,0,0,40,30,3,22
"1492",1493,2,1,50,1,5,3,NA,0,0,100,0,1,12
"1496",1497,2,2,26,1,7,1,NA,0,15,85,30,1,NA
"1497",1498,2,2,41,1,NA,NA,7,0,0,85,15,1,NA
"1498",1499,2,1,22,0,0,0,NA,0,30,60,50,1,NA
"1499",1500,2,2,45,1,2,3,NA,0,0,85,50,1,19
"1501",1502,2,2,56,0,5,5,NA,NA,15,30,NA,5,5
"1502",1503,2,2,48,1,2,5,NA,0,50,100,50,1,15
"1503",1504,2,2,52,0,NA,NA,0,0,0,100,0,1,NA
"1504",1505,2,2,28,0,NA,NA,3,0,30,85,50,1,8
"1505",1506,2,2,49,1,NA,NA,0,0,0,100,0,1,17
"1506",1507,2,2,41,0,NA,NA,3,0,40,85,40,1,3
"1507",1508,2,2,54,1,NA,NA,0,0,15,85,15,1,17
"1509",1510,2,2,51,0,NA,NA,0,0,0,85,0,1,NA
"1510",1511,2,2,38,1,NA,NA,6,0,0,85,30,3,NA
"1514",1515,2,2,50,1,NA,NA,7,0,40,100,40,1,16
"1516",1517,2,2,46,1,7,7,NA,0,0,100,30,1,NA
"1518",1519,2,2,52,0,3,0,NA,0,0,100,0,1,22
"1523",1524,2,2,30,0,3,0,NA,0,30,100,15,1,9
"1524",1525,2,2,40,1,NA,NA,2,0,40,70,30,1,16
"1525",1526,2,2,54,1,NA,NA,0,0,40,50,60,1,13
"1540",1541,2,2,52,1,3,4,NA,0,0,100,0,1,18
