"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"10",10,2,2,55,1,NA,NA,7,0,0,100,50,1,NA
"17",17,2,2,21,0,0,1,NA,0,15,85,30,1,NA
"41",41,2,2,40,1,3,0,NA,0,0,40,30,1,9
"73",73,2,2,20,0,0,0,NA,0,0,100,0,1,NA
"74",74,2,2,50,0,5,0,NA,0,0,70,0,1,NA
"75",75,2,2,36,1,0,1,NA,0,15,100,60,3,7
"80",80,2,2,29,1,7,3,NA,0,0,100,40,1,NA
"83",83,2,2,75,1,NA,NA,0,0,0,100,15,1,NA
"92",92,2,2,33,0,NA,NA,1,0,15,60,40,1,NA
"100",100,2,2,62,0,0,0,NA,0,60,90,NA,3,NA
"102",102,2,2,28,0,1,0,NA,NA,70,85,NA,3,12
"105",105,2,1,19,0,NA,NA,3,0,0,60,0,2,NA
"118",118,2,2,67,1,NA,NA,0,0,15,100,30,1,NA
"121",121,2,2,63,1,NA,NA,1,0,0,85,0,1,18
"163",163,2,2,20,0,0,0,NA,0,30,60,50,5,NA
"212",212,2,2,24,0,7,4,NA,0,0,100,0,1,20
"218",218,2,2,32,1,NA,NA,6,0,0,100,40,1,NA
"219",219,2,2,48,0,7,0,NA,0,0,100,0,1,14
"221",221,2,2,41,1,NA,NA,5,0,30,85,50,3,22
"232",232,2,2,57,1,7,7,NA,0,15,70,40,1,17
"234",234,2,2,73,1,NA,NA,0,0,0,50,15,1,NA
"235",235,2,2,61,0,NA,NA,3,0,15,70,15,5,NA
"258",258,2,2,54,1,NA,NA,0,0,0,100,0,1,12
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",270,2,2,68,0,3,2,NA,0,40,70,50,1,20
"275",276,2,2,53,1,7,3,NA,0,0,85,30,1,18
"277",278,2,2,33,0,NA,NA,0,0,15,50,15,3,16
"279",280,2,2,NA,0,0,0,NA,0,30,85,60,3,2
"295",296,2,2,47,0,0,0,NA,0,0,85,15,1,18
"296",297,2,2,23,0,NA,NA,1,0,0,60,50,1,15
"298",299,2,2,42,0,1,0,NA,0,0,60,60,1,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",303,2,2,23,0,1,0,NA,0,0,85,50,3,NA
"305",306,2,2,45,1,3,7,NA,0,0,100,0,1,NA
"312",313,2,2,26,0,5,0,NA,0,30,100,30,1,22
"320",321,2,2,44,1,NA,NA,0,0,50,60,60,1,16
"322",323,2,2,18,0,1,0,NA,0,40,50,50,3,NA
"325",326,2,2,44,0,7,7,NA,0,30,100,60,1,1
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",385,2,2,53,0,NA,NA,0,0,15,70,15,5,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451",452,2,1,34,1,1,4,NA,0,0,70,50,1,23
"461",462,2,2,35,1,2,5,NA,0,15,60,40,3,NA
"462",463,2,2,21,0,1,7,NA,0,40,85,50,3,NA
"463",464,2,2,60,1,NA,NA,0,0,40,100,30,3,18
"464",465,2,2,32,0,NA,NA,7,0,15,60,60,3,18
"466",467,2,2,46,1,NA,NA,0,0,40,85,40,1,17
"467",468,2,2,77,1,4,0,NA,0,50,100,60,1,NA
"468",469,2,2,90,NA,0,0,NA,NA,NA,NA,NA,1,NA
"472",473,2,2,67,1,NA,NA,0,0,30,80,50,1,13
"473",474,2,2,41,1,0,0,NA,0,40,70,30,1,17
"474",475,2,2,30,1,NA,NA,6,0,0,85,50,3,21
"475",476,2,2,71,NA,NA,NA,0,0,15,100,15,1,6
"477",478,2,2,29,0,7,5,NA,0,0,100,30,5,19
"479",480,2,2,38,NA,4,7,NA,0,0,100,0,3,NA
"480",481,2,2,53,1,0,2,NA,0,30,70,50,1,21
"481",482,2,2,25,0,NA,NA,0,0,15,85,50,1,6
"483",484,2,2,52,0,5,2,NA,0,15,85,15,3,NA
"484",485,2,2,63,0,NA,NA,0,0,30,30,60,3,4
"485",486,2,2,31,1,NA,NA,5,0,0,100,0,1,NA
"487",488,2,2,33,1,NA,NA,0,0,30,100,30,1,NA
"488",489,2,2,52,NA,0,7,NA,0,50,100,70,1,NA
"490",491,2,2,26,0,7,5,NA,0,50,100,50,3,NA
"491",492,2,2,59,0,7,2,NA,0,0,85,60,1,NA
"492",493,2,2,76,1,NA,NA,0,0,50,85,50,1,17
"493",494,2,2,48,1,5,5,NA,0,0,100,15,1,NA
"494",495,2,2,66,1,7,3,NA,0,1,85,30,3,NA
"496",497,2,2,49,1,NA,NA,0,0,0,100,0,1,13
"497",498,2,2,26,0,NA,NA,0,1,100,100,70,1,NA
"498",499,2,2,74,0,6,0,NA,0,40,85,30,3,6
"499",500,2,2,63,0,NA,NA,0,0,0,75,0,5,4
"500",501,2,2,60,0,NA,NA,0,0,0,100,60,1,NA
"501",502,2,2,28,0,3,6,NA,0,50,100,50,3,NA
"502",503,2,2,52,0,NA,NA,0,1,55,85,55,1,NA
"503",504,2,2,49,1,NA,NA,0,0,30,85,50,1,17
"504",505,2,2,38,1,3,0,NA,0,15,85,15,1,NA
"506",507,2,2,74,1,3,2,NA,0,50,85,50,1,NA
"507",508,2,2,65,0,NA,NA,0,0,0,40,35,1,NA
"508",509,2,2,35,1,0,5,NA,0,0,60,100,2,1
"509",510,2,2,25,1,0,7,NA,0,0,100,60,5,NA
"510",511,2,2,84,1,0,0,NA,0,0,100,0,1,8
"511",512,2,2,48,1,7,0,NA,0,50,50,50,3,18
"512",513,2,2,69,0,6,0,NA,1,60,62,40,1,NA
"513",514,2,2,61,0,NA,NA,5,0,15,89,30,1,16
"521",522,2,2,40,1,2,1,NA,0,30,60,40,1,19
"527",528,2,2,50,1,7,5,NA,0,0,100,50,1,NA
"528",529,2,2,31,0,NA,NA,3,0,15,60,30,1,15
"529",530,2,2,54,1,5,2,NA,0,60,70,60,3,18
"536",537,2,2,51,0,NA,NA,0,0,0,85,0,3,NA
"556",557,2,2,45,1,NA,NA,7,0,0,100,0,1,NA
"560",561,2,2,42,0,NA,NA,5,1,70,100,50,5,NA
"561",562,2,2,40,0,NA,NA,0,NA,50,50,50,3,2
"562",563,2,2,52,1,NA,NA,0,0,0,40,30,3,4
"565",566,2,2,45,1,7,1,NA,0,0,100,30,1,NA
"570",571,2,2,39,1,4,0,NA,0,15,100,30,3,12
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579",580,2,1,69,0,7,0,NA,0,30,100,85,1,11
"582",583,2,2,75,1,NA,NA,0,0,40,85,60,1,NA
"583",584,2,2,64,0,NA,NA,0,0,0,100,30,1,3
"584",585,2,2,76,1,7,7,NA,0,15,100,15,1,NA
"585",586,2,2,19,0,NA,NA,7,0,70,85,70,1,9
"651",652,2,2,32,0,NA,NA,0,0,0,85,15,1,NA
"696",697,2,2,65,1,NA,NA,5,0,0,100,0,1,NA
"699",700,2,2,51,1,7,3,NA,0,60,100,40,4,22
"706",707,2,2,46,0,7,1,NA,0,30,100,15,3,NA
"707",708,2,2,31,1,NA,NA,5,0,0,100,40,1,15
"708",709,2,2,25,1,6,5,NA,0,0,100,0,1,NA
"709",710,2,2,30,1,NA,NA,7,0,15,85,30,3,NA
"710",711,2,2,25,1,NA,NA,2,0,50,85,50,1,NA
"711",712,2,2,49,0,1,0,NA,1,70,70,NA,NA,NA
"712",713,2,2,52,0,7,5,NA,0,15,85,15,3,23
"713",714,2,2,30,0,2,2,NA,1,60,100,50,2,2
"714",715,2,2,54,1,4,0,NA,0,0,70,30,3,NA
"715",716,2,2,41,0,1,1,NA,0,60,85,50,1,NA
"716",717,2,2,40,1,4,1,NA,0,0,100,30,1,23
"717",718,2,2,32,1,6,7,NA,0,0,100,0,1,21
"718",719,2,2,22,0,1,2,NA,0,15,85,15,1,NA
"719",720,2,1,48,1,NA,NA,2,0,0,85,15,1,14
"720",721,2,2,48,1,NA,NA,4,0,40,70,50,1,NA
"721",722,2,2,26,1,4,1,NA,0,40,85,30,3,NA
"722",723,2,2,18,0,NA,NA,4,0,0,100,100,1,24
"724",725,2,2,51,1,7,0,NA,0,15,100,40,1,22
"725",726,2,2,54,1,NA,NA,3,0,40,100,40,1,25
"726",727,2,2,48,0,5,0,NA,0,15,70,50,1,NA
"727",728,2,2,73,0,NA,NA,6,0,0,100,5,1,NA
"728",729,2,2,23,1,7,7,NA,0,0,85,40,3,17
"731",732,2,2,70,1,NA,NA,0,0,0,85,60,3,NA
"732",733,2,2,62,0,NA,NA,0,0,15,60,60,5,NA
"733",734,2,2,28,1,2,0,NA,0,40,60,45,1,23
"743",744,2,2,49,1,5,6,NA,0,30,100,50,1,NA
"744",745,2,2,31,1,NA,NA,0,0,0,85,30,3,13
"745",746,2,2,55,0,NA,NA,0,0,60,85,60,3,NA
"752",753,2,2,65,1,7,1,NA,0,0,100,15,1,19
"757",758,2,2,48,1,NA,NA,7,0,15,100,30,3,NA
"763",764,2,2,62,NA,NA,NA,0,0,0,100,NA,3,3
"764",765,2,2,22,0,3,2,NA,0,0,100,0,1,NA
"765",766,2,2,38,0,NA,NA,7,1,0,100,40,1,10
"766",767,2,2,35,1,0,0,NA,0,30,100,30,1,11
"767",768,2,2,37,1,0,1,NA,0,0,70,15,1,NA
"768",769,2,2,50,1,7,3,NA,0,50,100,60,1,NA
"769",770,2,2,66,0,4,7,NA,0,70,100,70,1,NA
"770",771,2,2,26,1,1,1,NA,0,0,85,40,3,4
"771",772,2,2,44,0,2,3,NA,0,60,70,50,2,4
"772",773,2,2,38,1,NA,NA,3,0,0,100,60,1,15
"773",774,2,2,57,0,2,0,NA,0,0,70,40,1,13
"774",775,2,2,27,NA,1,1,NA,0,50,100,30,1,NA
"775",776,2,2,37,1,NA,NA,7,0,0,100,30,1,14
"776",777,2,2,49,NA,0,0,NA,0,50,75,NA,1,NA
"777",778,2,2,55,1,NA,NA,2,0,0,100,0,1,4
"779",780,2,2,58,1,7,7,NA,0,0,85,15,1,18
"780",781,2,2,44,1,4,0,NA,0,30,100,40,1,NA
"781",782,2,2,21,0,7,2,NA,0,0,85,50,1,19
"782",783,2,2,41,1,NA,NA,3,0,0,100,0,1,19
"783",784,2,2,35,1,NA,NA,1,0,10,85,30,1,12
"784",785,2,2,66,1,0,2,NA,0,30,85,40,1,19
"786",787,2,2,68,1,7,3,NA,0,15,85,15,1,NA
"787",788,2,2,44,1,5,0,NA,0,0,100,30,1,24
"788",789,2,2,39,1,7,2,NA,0,0,100,0,1,NA
"789",790,2,2,23,1,NA,NA,0,0,15,60,15,1,17
"790",791,2,2,44,1,2,1,NA,0,0,100,0,1,22
"791",792,2,2,61,1,NA,NA,5,0,0,100,0,1,18
"792",793,2,2,25,1,NA,NA,5,0,15,85,50,3,16
"793",794,2,2,38,1,NA,NA,2,0,50,90,50,1,NA
"824",825,2,2,73,1,NA,NA,0,0,0,85,50,1,NA
"825",826,2,2,63,0,7,0,NA,0,0,70,0,1,NA
"826",827,2,2,48,0,7,0,NA,0,0,100,0,3,NA
"827",828,2,2,48,1,NA,NA,7,0,40,100,40,1,NA
"828",829,2,2,48,1,NA,NA,6,0,50,100,50,1,NA
"830",831,2,2,56,1,NA,NA,7,0,0,85,0,1,15
"831",832,2,2,24,0,7,5,NA,0,0,85,50,1,NA
"834",835,2,2,32,0,NA,NA,7,0,0,85,40,1,9
"835",836,2,2,23,0,NA,NA,0,0,15,100,15,1,NA
"860",861,2,1,55,1,NA,NA,7,0,60,30,50,3,19
"877",878,2,2,22,0,NA,NA,2,0,50,100,50,3,1
"878",879,2,2,86,1,4,4,NA,1,40,50,15,3,8
"879",880,2,2,79,1,NA,NA,0,0,25,100,50,1,NA
"880",881,2,2,83,1,NA,NA,0,NA,NA,100,NA,1,7
"881",882,2,2,75,0,NA,NA,0,0,40,85,15,1,10
"882",883,2,2,36,1,NA,NA,7,1,40,100,50,1,15
"883",884,2,2,32,0,4,7,NA,0,50,100,70,1,18
"884",885,2,2,84,1,0,0,NA,0,0,NA,0,1,NA
"885",886,2,2,53,1,NA,NA,0,0,60,85,60,1,9
"886",887,2,2,47,0,4,0,NA,0,0,85,60,1,8
"887",888,2,2,35,1,7,2,NA,0,25,100,50,5,10
"888",889,2,2,58,1,NA,NA,0,0,30,100,30,1,10
"889",890,2,2,59,1,NA,NA,0,0,40,100,50,1,NA
"890",891,2,2,46,1,NA,NA,2,0,15,100,50,1,11
"891",892,2,2,60,0,7,0,NA,0,15,70,40,1,9
"892",893,2,2,32,0,NA,NA,0,0,50,85,50,3,NA
"893",894,2,2,53,1,NA,NA,0,NA,60,70,85,1,10
"894",895,2,2,65,0,7,3,NA,0,50,100,70,1,14
"895",896,2,2,58,0,0,0,NA,0,85,50,60,1,9
"896",897,2,2,41,1,7,7,NA,0,0,100,15,1,18
"897",898,2,2,32,0,NA,NA,2,0,50,15,30,3,11
"898",899,2,2,73,1,NA,NA,0,0,50,85,65,1,NA
"899",900,2,2,29,1,NA,NA,1,1,70,50,50,1,NA
"900",901,2,2,57,1,NA,NA,6,0,50,100,40,1,12
"901",902,2,2,41,1,NA,NA,0,0,0,100,0,1,15
"902",903,2,2,46,1,1,0,NA,0,50,100,100,1,8
"903",904,2,2,50,1,NA,NA,0,0,60,70,60,1,NA
"904",905,2,2,54,1,NA,NA,0,0,0,100,30,1,NA
"905",906,2,2,78,1,NA,NA,0,0,30,100,70,1,17
"906",907,2,2,82,0,7,0,NA,0,0,100,0,1,NA
"907",908,2,2,31,1,4,4,NA,0,30,85,50,1,25
"908",909,2,2,31,1,NA,NA,0,0,0,100,50,3,NA
"909",910,2,2,21,0,NA,NA,3,1,50,70,50,1,NA
"910",911,2,2,32,1,NA,NA,0,0,0,60,0,1,17
"911",912,2,2,50,0,1,2,NA,0,40,70,50,NA,3
"912",913,2,2,29,1,1,7,NA,0,60,85,60,3,NA
"913",914,2,2,45,1,3,3,NA,0,0,100,0,1,11
"914",915,2,2,47,1,NA,NA,0,0,50,100,50,3,NA
"915",916,2,2,26,0,0,5,NA,0,60,85,40,1,7
"916",917,2,2,24,0,NA,NA,0,0,50,100,50,3,NA
"917",918,2,2,43,1,7,3,NA,0,15,70,60,1,NA
"918",919,2,2,18,0,5,2,NA,NA,60,85,70,3,2
"919",920,2,2,44,0,2,2,NA,0,30,50,30,1,12
"920",921,2,2,53,1,2,7,NA,0,0,100,0,1,NA
"921",922,2,2,38,0,1,7,NA,0,70,85,70,3,14
"922",923,2,2,79,0,5,0,NA,0,60,85,60,1,NA
"923",924,2,2,55,0,0,2,NA,0,50,70,50,3,18
"924",925,2,2,44,1,7,4,NA,0,50,100,50,1,17
"925",926,2,2,53,0,NA,NA,0,0,40,60,40,1,NA
"926",927,2,2,69,1,NA,NA,0,0,0,100,0,1,NA
"927",928,2,2,37,0,2,7,NA,0,60,100,50,3,11
"928",929,2,2,27,0,0,1,NA,0,0,50,50,NA,NA
"929",930,2,2,25,0,0,0,NA,0,70,85,70,3,NA
"930",931,2,2,68,NA,NA,NA,0,0,50,100,0,1,NA
"931",932,2,2,48,0,2,7,NA,0,40,50,30,3,NA
"932",933,2,2,46,1,3,0,NA,1,50,60,50,3,NA
"933",934,2,2,59,NA,1,1,NA,1,60,70,70,1,11
"983",984,2,2,59,1,NA,NA,7,0,10,95,45,3,24
"998",999,2,2,26,NA,NA,NA,0,0,50,100,50,5,NA
"999",1000,2,2,35,0,4,5,NA,0,0,100,0,1,17
"1000",1001,2,2,45,0,7,7,NA,1,50,100,70,NA,NA
"1001",1002,2,2,39,0,0,0,NA,0,0,60,NA,NA,NA
"1002",1003,2,2,20,0,NA,NA,7,0,0,100,50,3,4
"1003",1004,2,2,22,0,0,3,NA,0,40,70,50,3,NA
"1004",1005,2,2,47,1,7,2,NA,0,70,40,60,1,16
"1005",1006,2,2,52,1,7,5,NA,0,0,100,0,1,NA
"1006",1007,2,2,80,1,0,7,NA,0,0,85,40,3,NA
"1007",1008,2,2,63,1,NA,NA,0,0,0,85,15,1,NA
"1008",1009,2,2,43,0,3,0,NA,0,59,60,50,1,NA
"1009",1010,2,2,62,1,7,0,NA,0,50,100,50,4,NA
"1010",1011,2,2,52,1,2,2,NA,0,0,100,0,5,NA
"1011",1012,2,2,43,0,NA,NA,0,1,85,60,60,1,6
"1012",1013,2,1,19,0,NA,NA,2,0,0,100,0,1,14
"1013",1014,2,2,55,1,7,0,NA,0,0,100,0,1,20
"1014",1015,2,2,54,1,7,0,NA,0,0,100,0,1,13
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016",1017,2,2,59,1,5,7,NA,0,30,100,30,1,13
"1017",1018,2,2,51,1,7,0,NA,0,0,100,15,1,17
"1018",1019,2,2,56,1,7,0,NA,0,0,100,15,1,5
"1019",1020,2,2,76,1,NA,NA,2,0,0,100,0,1,NA
"1020",1021,2,2,59,1,NA,NA,3,0,0,100,30,1,NA
"1022",1023,2,2,56,1,6,0,NA,NA,60,75,70,3,NA
"1023",1024,2,2,78,1,5,7,NA,0,50,85,60,1,NA
"1024",1025,2,2,56,1,NA,NA,0,0,50,100,50,1,9
"1025",1026,2,2,32,1,NA,NA,0,0,50,50,30,3,NA
"1026",1027,2,2,75,1,NA,NA,0,0,50,70,50,1,8
"1027",1028,2,2,62,0,NA,NA,0,0,15,100,0,1,11
"1028",1029,2,2,NA,0,NA,NA,0,0,40,50,60,1,7
"1029",1030,2,2,47,1,NA,NA,4,0,60,60,60,3,2
"1030",1031,2,2,73,1,NA,NA,0,0,40,50,40,1,NA
"1031",1032,2,2,82,1,2,7,NA,0,30,100,30,1,1
"1032",1033,2,2,42,0,NA,NA,0,0,0,85,0,3,NA
"1033",1034,2,2,51,0,1,7,NA,0,0,85,15,1,15
"1034",1035,2,2,58,1,NA,NA,1,0,30,100,15,3,NA
"1035",1036,2,2,34,0,6,1,NA,0,60,85,50,3,11
"1036",1037,2,2,35,NA,NA,NA,0,0,50,85,50,1,NA
"1037",1038,2,2,36,1,6,4,NA,0,15,100,0,1,16
