rid,race,latino,age,vote04,tvnews,newspaper,internet,approval,bush.th,obama.th,mccain.th,partyid,income
198,1,2,61,1,7,7,,0,70,40,85,3,25
199,1,2,52,1,,,5,1,70,0,100,5,
200,1,2,55,1,,,0,0,30,85,,3,16
201,1,2,20,1,5,1,,0,50,85,60,3,20
202,4,2,45,1,7,2,,1,70,15,60,2,25
203,1,2,46,1,,,0,0,30,60,50,3,18
204,1,2,65,1,,,7,0,60,15,60,2,19
205,1,2,41,0,7,7,,1,85,15,85,2,
206,4,1,63,1,7,0,,0,50,60,60,1,
207,1,2,70,1,2,7,,1,60,40,60,2,
208,1,2,73,1,7,7,,0,40,60,60,3,
209,1,2,68,1,,,3,1,70,30,70,2,18
210,1,2,45,1,,,5,1,100,30,100,2,25
211,1,2,77,1,,,5,0,60,30,70,2,
212,2,2,24,0,7,4,,0,0,100,0,1,20
213,4,1,18,0,0,0,,0,30,50,40,5,17
214,4,2,40,0,7,4,,0,0,85,0,1,18
215,4,1,50,1,6,7,,0,30,85,50,1,13
216,4,1,27,1,3,0,,0,40,100,30,1,13
217,4,1,26,0,,,1,0,60,30,100,3,
218,2,2,32,1,,,6,0,0,100,40,1,
219,2,2,48,0,7,0,,0,0,100,0,1,14
220,4,1,18,0,3,3,,0,0,70,70,2,
221,2,2,41,1,,,5,0,30,85,50,3,22
222,1,2,43,1,2,0,,0,0,70,40,1,20
223,4,1,46,1,,,1,1,85,50,70,2,17
224,4,1,18,0,0,0,,0,15,100,15,3,
225,4,1,36,1,,,3,0,15,85,50,1,19
226,1,1,44,0,,,0,0,50,50,50,5,13
227,1,1,59,0,2,7,,0,85,70,60,1,13
228,4,1,18,0,0,0,,0,40,70,40,1,
229,4,1,45,1,0,0,,0,50,100,40,1,19
230,4,1,44,1,7,0,,0,20,70,20,1,18
231,4,1,31,0,2,0,,0,0,70,50,4,12
232,2,2,57,1,7,7,,0,15,70,40,1,17
233,1,2,44,0,1,0,,0,15,85,50,1,
234,2,2,73,1,,,0,0,0,50,15,1,
235,2,2,61,0,,,3,0,15,70,15,5,
236,1,2,49,1,7,7,,0,40,60,70,3,18
237,1,2,75,1,,,0,0,60,15,60,2,18
238,1,2,40,0,0,0,,0,40,60,50,3,22
239,1,2,59,1,,,7,1,85,0,85,2,20
240,1,2,64,1,,,0,0,0,85,50,1,14
241,1,2,19,0,0,0,,0,40,70,50,5,18
242,4,1,44,1,,,0,1,100,40,85,2,17
243,1,2,68,1,,,7,1,85,40,85,2,14
244,4,1,72,1,7,7,,0,15,50,50,1,25
245,1,2,55,,,,0,1,70,85,85,2,18
246,1,1,26,1,2,1,,1,70,70,60,3,18
247,1,2,49,1,,,1,0,70,15,60,2,18
248,1,2,47,1,,,7,0,15,85,70,3,21
249,1,2,90,1,0,7,,0,70,40,60,2,19
250,1,2,45,1,,,1,1,85,40,70,2,24
251,1,2,83,1,,,0,0,0,100,15,1,17
252,4,1,34,0,3,0,,0,0,100,15,1,
253,1,2,54,1,,,4,1,70,30,60,2,15
254,4,2,47,1,3,0,,0,0,100,0,1,15
255,1,2,75,1,,,0,1,85,50,85,2,
256,1,2,33,1,5,0,,1,100,100,100,5,18
257,1,2,27,1,,,7,0,0,85,30,1,25
258,2,2,54,1,,,0,0,0,100,0,1,12
259,4,1,31,1,,,7,0,40,85,50,1,13
260,4,1,50,0,,,3,1,60,70,60,3,23
261,1,2,33,1,2,3,,0,15,50,85,3,19
263,4,1,43,1,,,7,0,15,85,15,1,18
264,1,2,39,0,,,0,,,,,,
265,1,2,56,1,,,6,0,30,0,70,2,23
266,1,1,53,0,,,0,1,0,70,70,3,
267,4,1,42,,0,0,,0,40,50,70,3,16
268,1,2,56,0,,,0,0,60,70,40,3,2
269,,2,20,1,,,0,1,85,50,90,2,17
270,2,2,68,0,3,2,,0,40,70,50,1,20
271,1,2,29,0,,,0,0,0,70,40,4,
272,1,2,53,1,,,7,0,0,60,30,1,22
273,1,2,,,5,0,,0,0,85,50,3,
274,1,2,29,1,,,7,0,0,100,30,1,
275,1,2,37,1,5,0,,0,0,85,15,1,1
276,2,2,53,1,7,3,,0,0,85,30,1,18
277,1,2,23,1,2,3,,0,0,70,15,3,
278,2,2,33,0,,,0,0,15,50,15,3,16
279,1,2,52,1,,,6,0,15,100,0,1,25
280,2,2,,0,0,0,,0,30,85,60,3,2
281,1,2,54,0,,,1,0,0,100,0,1,
282,1,2,34,1,,,7,0,0,100,40,1,25
283,1,1,80,1,,,0,0,0,75,50,3,
284,1,2,31,1,4,3,,0,0,95,5,1,
285,1,2,35,0,,,3,0,0,100,15,1,19
286,4,1,37,1,,,7,0,0,100,0,1,
287,1,2,48,1,,,5,0,30,60,60,1,
288,1,1,38,1,5,2,,0,15,85,30,1,
289,1,2,32,1,,,7,0,0,70,0,5,13
290,1,2,21,0,1,2,,0,15,85,15,1,25
291,4,1,60,0,,,7,0,15,50,70,3,
292,6,2,30,0,,,5,0,0,100,0,1,
293,1,2,,1,,,4,0,15,85,40,3,16
294,1,2,25,1,2,3,,0,15,85,30,1,9
295,1,2,,1,,,5,0,15,65,40,3,19
296,2,2,47,0,0,0,,0,0,85,15,1,18
297,2,2,23,0,,,1,0,0,60,50,1,15
298,1,2,23,1,1,0,,0,40,15,40,3,
299,2,2,42,0,1,0,,0,0,60,60,1,
300,6,1,46,0,2,0,,0,50,60,50,3,
301,4,2,23,0,,,5,0,40,40,40,2,7
302,,,,0,3,2,,0,0,70,15,3,
303,2,2,23,0,1,0,,0,0,85,50,3,
304,4,1,19,0,0,0,,0,0,70,40,1,
305,4,2,48,0,3,1,,0,70,85,70,1,
306,2,2,45,1,3,7,,0,0,100,0,1,
307,1,2,26,0,,,1,0,30,70,70,3,
308,4,1,39,0,7,0,,0,50,70,60,,
309,1,2,21,0,2,0,,0,30,70,60,3,
310,1,2,31,0,,,3,,60,60,60,2,17
311,6,1,25,1,7,0,,0,0,100,0,1,21
312,4,1,59,1,7,0,,1,70,0,85,2,
313,2,2,26,0,5,0,,0,30,100,30,1,22
314,1,2,64,1,7,7,,0,0,60,60,3,25
315,1,2,25,1,2,0,,1,70,30,60,2,18
316,1,2,34,1,,,7,1,40,30,70,2,16
317,1,2,59,1,7,1,,1,70,60,70,3,
318,1,2,41,0,3,0,,0,40,60,70,1,14
319,4,1,40,0,0,3,,0,50,50,50,3,13
320,1,2,44,0,1,1,,0,15,60,50,3,
321,2,2,44,1,,,0,0,50,60,60,1,16
322,1,2,33,0,,,2,0,40,50,50,3,19
323,2,2,18,0,1,0,,0,40,50,50,3,
324,1,2,45,1,,,5,0,0,75,75,3,
325,1,2,45,1,,,7,0,15,85,85,3,15
326,2,2,44,0,7,7,,0,30,100,60,1,1
327,1,2,23,1,7,0,,0,0,98,15,4,19
328,4,1,33,1,5,3,,0,0,85,30,1,19
329,1,2,87,1,1,7,,0,0,0,60,,8
330,1,2,31,1,,,7,0,0,85,40,1,18
331,5,1,59,1,,,0,0,0,8,15,1,
332,1,2,37,0,0,5,,0,50,50,50,5,19
333,1,2,55,1,6,0,,0,10,5,80,3,
334,1,2,38,0,2,0,,0,40,30,60,2,25
335,1,2,61,1,,,0,1,60,40,70,4,
336,1,2,36,1,,,7,1,70,60,85,2,23
337,1,2,57,1,3,2,,0,30,85,60,1,22
338,1,2,60,1,,,5,1,70,40,85,2,22
339,1,2,44,1,,,0,0,60,50,70,1,19
340,1,2,34,0,,,7,0,0,50,30,3,25
341,1,2,46,1,0,0,,1,70,30,60,2,25
342,1,1,52,1,3,0,,,60,60,85,2,10
343,4,1,31,1,,,2,0,35,85,60,1,24
344,1,2,80,1,0,7,,0,15,85,40,3,18
345,1,2,67,1,5,6,,1,70,60,85,2,14
346,1,2,70,1,,,0,1,85,15,70,2,16
347,1,2,58,1,,,7,0,0,85,15,1,20
348,1,2,57,1,,,0,1,85,0,85,2,13
349,1,2,29,1,2,0,,0,0,100,15,3,
350,1,2,18,0,,,2,0,0,70,40,1,
351,1,2,30,0,,,0,0,1,100,49,1,
352,1,2,56,1,,,0,0,15,85,15,1,19
353,,1,30,1,,,1,0,15,70,30,1,20
354,1,2,54,1,3,0,,0,70,85,85,2,17
355,1,2,30,1,,,5,0,0,85,15,4,18
356,1,2,66,1,,,0,0,15,85,50,1,15
357,1,2,35,1,,,5,0,30,100,40,3,17
358,1,2,68,0,,,0,0,30,40,30,5,
359,1,2,36,0,,,7,1,70,70,85,3,19
360,1,1,67,1,4,1,,0,15,100,15,1,19
361,1,1,32,1,7,0,,0,25,50,50,3,16
362,1,2,41,1,3,7,,1,70,40,85,3,21
363,,1,41,1,0,1,,0,30,70,40,3,18
364,1,1,33,1,5,0,,0,25,75,35,1,18
365,1,2,56,1,,,0,1,60,50,70,2,21
366,1,2,34,1,2,0,,0,70,30,60,2,20
367,1,2,23,1,2,0,,0,15,70,40,3,17
368,1,2,49,1,0,0,,1,85,85,85,3,11
369,1,2,31,0,,,0,0,0,70,15,1,
370,1,2,19,0,1,1,,1,85,40,85,3,5
371,1,2,67,1,,,0,0,30,40,85,3,17
372,1,2,35,0,,,7,0,40,85,50,3,
373,1,2,28,0,0,0,,0,0,85,0,1,
374,4,1,23,0,7,0,,0,50,100,85,3,15
375,1,2,60,1,7,0,,1,85,0,70,3,21
376,1,2,54,0,,,0,0,30,30,30,2,16
377,1,2,74,1,,,0,0,0,85,15,1,
378,1,1,61,1,7,2,,0,0,85,0,1,17
379,4,1,48,0,7,7,,0,50,50,40,1,13
380,1,2,53,0,3,0,,0,15,85,15,3,
381,1,2,57,1,7,0,,1,100,70,85,3,
382,1,2,50,1,7,0,,1,70,50,50,2,9
383,1,2,23,1,,,7,0,0,70,40,1,13
384,1,2,21,0,2,0,,0,0,60,30,3,
385,2,2,53,0,,,0,0,15,70,15,5,
386,4,1,40,0,,,0,0,40,70,85,3,
387,4,1,62,0,7,0,,1,,,,,3
388,4,1,50,1,,,0,0,15,60,15,1,7
389,4,2,50,1,7,1,,1,60,60,60,3,
390,4,1,39,0,,,0,0,30,40,40,1,
391,4,1,23,0,4,3,,0,0,100,15,1,
392,4,1,45,1,7,3,,0,0,100,50,1,18
393,4,1,58,0,,,0,0,0,100,0,1,
394,4,1,56,1,4,2,,0,0,85,40,3,17
395,1,2,70,1,5,0,,0,15,85,40,1,
396,4,1,55,1,,,7,0,0,70,50,3,17
397,4,1,42,0,,,0,1,50,85,50,1,3
398,1,2,49,1,,,0,1,100,40,85,2,17
399,1,2,38,1,,,7,0,15,100,40,1,
400,1,1,27,1,,,7,0,30,85,30,1,15
401,1,2,28,1,,,2,0,30,70,50,3,18
402,,1,68,1,7,7,,1,85,85,40,1,14
403,1,2,85,0,7,7,,1,50,100,50,5,
404,1,2,43,0,2,7,,,50,50,50,5,15
405,1,2,49,1,,,7,0,0,100,0,1,16
406,1,2,51,1,7,2,,0,0,15,15,3,
407,1,1,19,0,,,1,0,30,50,50,3,
408,1,2,55,1,,,7,1,85,15,85,3,
409,1,2,45,0,,,7,0,0,70,15,5,
410,1,2,57,0,4,4,,0,60,85,60,3,23
411,1,2,45,1,5,2,,0,15,60,40,3,
412,1,2,24,1,0,0,,0,15,70,40,5,
413,1,2,39,1,,,7,0,0,85,30,1,18
414,4,1,22,1,7,7,,0,15,100,0,1,13
415,1,2,38,1,,,0,0,40,30,50,3,12
416,4,1,19,0,3,0,,0,40,60,50,3,11
417,4,1,23,0,,,0,0,60,70,60,3,1
418,4,1,43,0,,,1,0,15,70,40,3,6
419,1,2,19,0,,,0,1,60,85,40,3,
420,1,2,29,1,,,2,1,85,60,60,2,4
421,1,1,58,1,,,0,1,70,70,80,3,
422,1,2,56,0,5,1,,1,50,50,50,3,7
423,1,2,20,0,,,6,1,85,50,85,2,
424,1,2,61,1,,,7,1,70,15,85,2,17
425,1,2,22,1,,,7,1,70,70,70,3,3
426,1,2,42,0,7,0,,0,15,60,15,3,13
427,1,2,,1,7,7,,0,40,0,85,2,22
428,1,2,30,1,,,0,0,60,70,70,3,21
429,1,2,68,1,,,0,1,85,40,100,2,8
430,1,2,25,1,,,2,0,40,60,40,1,17
431,1,2,53,1,,,0,1,60,30,40,2,
432,1,1,57,0,7,3,,0,0,70,30,1,
433,1,1,25,0,,,0,0,0,85,50,3,2
434,1,1,30,0,0,0,,1,85,85,60,2,15
435,1,2,68,1,,,0,0,0,70,0,1,10
436,1,2,22,0,0,3,,1,85,30,100,2,16
437,1,2,40,1,,,0,0,15,30,15,1,17
438,1,2,80,1,3,7,,0,40,70,70,3,
439,4,1,37,1,,,0,0,0,100,0,1,14
440,1,2,37,1,,,7,1,70,0,50,3,
441,1,1,39,0,,,0,1,70,40,60,3,
442,4,1,74,0,,,0,1,,,,5,
443,1,2,23,1,0,7,,0,15,85,30,1,14
444,4,1,22,0,2,0,,0,60,70,0,3,11
445,1,1,24,1,0,3,,0,15,75,55,1,14
446,1,2,45,1,,,3,0,30,60,60,2,
447,1,2,56,1,,,3,0,15,100,15,1,8
448,1,2,51,1,,,0,0,15,85,30,3,9
449,1,2,19,0,4,4,,0,30,100,30,1,5
450,1,2,19,0,0,4,,0,0,100,30,1,1
451,4,1,18,0,,,5,0,0,50,40,1,
452,2,1,34,1,1,4,,0,0,70,50,1,23
453,1,2,32,0,,,5,1,70,70,60,3,22
454,1,2,53,1,,,7,0,0,70,40,3,25
455,1,2,48,1,,,0,0,30,70,50,1,18
456,1,2,43,1,,,0,1,50,50,50,,
457,1,1,20,0,,,1,0,60,70,70,2,7
458,5,1,74,1,6,7,,0,50,60,30,1,
459,4,1,18,0,,,4,1,50,60,50,3,1
460,1,1,59,1,7,4,,0,0,80,5,1,
461,1,2,38,1,,,5,0,0,100,15,1,
462,2,2,35,1,2,5,,0,15,60,40,3,
463,2,2,21,0,1,7,,0,40,85,50,3,
464,2,2,60,1,,,0,0,40,100,30,3,18
465,2,2,32,0,,,7,0,15,60,60,3,18
466,4,1,17,0,,,5,0,15,85,60,3,10
467,2,2,46,1,,,0,0,40,85,40,1,17
468,2,2,77,1,4,0,,0,50,100,60,1,
469,2,2,90,,0,0,,,,,,1,
470,4,1,18,0,3,0,,0,0,100,30,1,10
471,6,1,53,0,,,0,0,15,100,15,1,
472,1,2,72,1,,,0,0,0,100,30,1,
473,2,2,67,1,,,0,0,30,80,50,1,13
474,2,2,41,1,0,0,,0,40,70,30,1,17
475,2,2,30,1,,,6,0,0,85,50,3,21
476,2,2,71,,,,0,0,15,100,15,1,6
477,4,2,22,1,,,0,0,40,85,40,3,
478,2,2,29,0,7,5,,0,0,100,30,5,19
479,4,1,21,0,2,2,,0,0,60,30,3,
480,2,2,38,,4,7,,0,0,100,0,3,
481,2,2,53,1,0,2,,0,30,70,50,1,21
482,2,2,25,0,,,0,0,15,85,50,1,6
483,4,2,57,1,,,6,0,60,85,60,1,10
484,2,2,52,0,5,2,,0,15,85,15,3,
485,2,2,63,0,,,0,0,30,30,60,3,4
486,2,2,31,1,,,5,0,0,100,0,1,
487,4,2,42,0,,,0,0,0,75,0,1,
488,2,2,33,1,,,0,0,30,100,30,1,
489,2,2,52,,0,7,,0,50,100,70,1,
490,5,1,57,1,,,2,0,40,85,60,3,
491,2,2,26,0,7,5,,0,50,100,50,3,
492,2,2,59,0,7,2,,0,0,85,60,1,
493,2,2,76,1,,,0,0,50,85,50,1,17
494,2,2,48,1,5,5,,0,0,100,15,1,
495,2,2,66,1,7,3,,0,1,85,30,3,
496,4,2,53,1,,,0,0,50,70,0,1,
497,2,2,49,1,,,0,0,0,100,0,1,13
498,2,2,26,0,,,0,1,100,100,70,1,
499,2,2,74,0,6,0,,0,40,85,30,3,6
500,2,2,63,0,,,0,0,0,75,0,5,4
501,2,2,60,0,,,0,0,0,100,60,1,
502,2,2,28,0,3,6,,0,50,100,50,3,
503,2,2,52,0,,,0,1,55,85,55,1,
504,2,2,49,1,,,0,0,30,85,50,1,17
505,2,2,38,1,3,0,,0,15,85,15,1,
506,1,2,78,1,,,0,0,0,100,0,1,
507,2,2,74,1,3,2,,0,50,85,50,1,
508,2,2,65,0,,,0,0,0,40,35,1,
509,2,2,35,1,0,5,,0,0,60,100,2,1
510,2,2,25,1,0,7,,0,0,100,60,5,
511,2,2,84,1,0,0,,0,0,100,0,1,8
512,2,2,48,1,7,0,,0,50,50,50,3,18
513,2,2,69,0,6,0,,1,60,62,40,1,
514,2,2,61,0,,,5,0,15,89,30,1,16
515,4,1,69,1,,,7,0,0,85,0,1,
516,1,2,47,1,7,0,,0,0,85,70,2,
517,1,1,26,1,0,0,,0,15,85,15,1,17
518,1,2,38,1,,,5,1,70,70,70,5,
519,1,2,23,1,2,2,,0,70,30,70,3,
520,1,2,46,1,,,7,0,30,85,70,3,19
521,1,2,63,1,7,1,,0,30,85,60,3,15
522,2,2,40,1,2,1,,0,30,60,40,1,19
523,4,2,43,0,,,5,0,0,100,30,1,
524,1,2,86,1,,,0,0,70,85,50,3,
525,1,2,80,,,,0,1,50,85,85,1,
526,4,2,69,1,7,7,,0,50,70,50,3,
527,1,2,52,1,,,5,1,85,40,85,2,18
528,2,2,50,1,7,5,,0,0,100,50,1,
529,2,2,31,0,,,3,0,15,60,30,1,15
530,2,2,54,1,5,2,,0,60,70,60,3,18
531,1,2,72,1,7,0,,0,50,0,85,2,
532,1,2,28,0,0,0,,0,0,15,0,3,12
533,1,2,63,1,7,0,,,70,30,85,3,18
