"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"104",104,5,2,59,1,NA,NA,5,0,15,85,40,1,NA
"165",165,5,1,36,1,NA,NA,3,0,70,50,70,2,NA
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",331,5,1,59,1,NA,NA,0,0,0,8,15,1,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457",458,5,1,74,1,6,7,NA,0,50,60,30,1,NA
"489",490,5,1,57,1,NA,NA,2,0,40,85,60,3,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796",797,5,2,39,0,0,1,NA,0,15,30,50,5,14
"982",983,5,2,19,0,1,0,NA,0,30,60,30,5,25
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1309",1310,5,2,32,0,NA,NA,6,0,0,85,30,3,21
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1563",1564,5,2,58,1,2,0,NA,0,60,60,60,1,15
"1593",1594,5,2,48,1,NA,NA,7,1,85,0,85,2,NA
"1605",1606,5,2,30,1,NA,NA,1,1,60,30,70,2,NA
"1645",1646,5,1,33,NA,NA,NA,0,0,40,70,70,3,19
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1656",1657,5,1,29,1,NA,NA,7,1,70,70,70,1,17
"1665",1666,5,2,66,NA,NA,NA,1,0,15,70,30,1,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",2007,5,2,45,1,NA,NA,3,1,85,50,85,3,NA
"2106",2107,5,1,78,1,2,2,NA,0,30,85,15,1,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
