"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"1",1,4,2,34,1,0,0,NA,1,85,25,60,3,24
"23",23,4,1,37,0,7,0,NA,0,0,60,60,1,19
"30",30,4,1,37,1,NA,NA,7,0,40,70,60,3,21
"36",36,4,2,24,0,0,0,NA,1,70,70,50,3,NA
"37",37,4,2,28,0,NA,NA,0,0,25,85,50,3,NA
"42",42,4,2,39,0,NA,NA,0,1,100,0,85,3,14
"45",45,4,2,46,1,3,3,NA,1,50,NA,50,2,20
"52",52,4,2,47,1,0,3,NA,0,0,25,25,3,19
"63",63,4,1,25,0,NA,NA,7,0,30,40,60,2,NA
"72",72,4,2,34,1,NA,NA,4,0,15,60,40,5,19
"79",79,4,2,29,1,4,0,NA,0,0,70,15,1,11
"84",84,4,2,61,0,NA,NA,0,0,40,70,50,1,NA
"99",99,4,2,45,1,NA,NA,5,1,100,60,85,2,19
"107",107,4,1,28,1,NA,NA,3,0,0,70,15,3,NA
"108",108,4,1,56,1,NA,NA,0,0,0,70,0,1,17
"109",109,4,1,26,0,NA,NA,0,0,0,85,50,3,NA
"111",111,4,1,37,0,NA,NA,4,0,15,60,40,1,18
"112",112,4,1,29,0,3,2,NA,0,50,50,40,1,NA
"113",113,4,1,58,0,6,0,NA,0,60,85,70,3,NA
"114",114,4,1,30,0,1,0,NA,1,70,85,70,1,11
"115",115,4,1,19,0,NA,NA,0,0,0,85,0,3,20
"117",117,4,1,35,0,1,0,NA,0,15,70,40,1,NA
"119",119,4,1,35,1,2,6,NA,1,0,70,60,5,18
"120",120,4,2,73,1,7,0,NA,0,50,60,60,1,10
"122",122,4,2,35,1,NA,NA,7,0,40,60,70,3,NA
"123",123,4,2,20,0,1,5,NA,0,40,50,50,3,18
"136",136,4,2,57,1,7,7,NA,0,15,70,40,3,8
"138",138,4,1,36,1,5,0,NA,0,0,85,70,1,25
"162",162,4,2,34,1,1,0,NA,0,15,70,50,2,24
"168",168,4,1,46,1,6,0,NA,0,40,85,40,1,12
"169",169,4,2,63,0,1,0,NA,1,70,70,70,NA,25
"170",170,4,1,53,0,2,0,NA,0,0,50,70,2,9
"171",171,4,1,50,0,NA,NA,0,0,60,100,60,1,15
"172",172,4,1,44,1,NA,NA,5,1,60,85,60,1,14
"173",173,4,1,65,1,NA,NA,0,0,60,100,40,1,14
"175",175,4,2,NA,0,NA,NA,0,0,0,85,40,1,NA
"183",183,4,1,27,1,NA,NA,7,0,10,90,35,3,22
"184",184,4,1,20,0,NA,NA,0,0,30,60,50,3,16
"185",185,4,2,20,0,NA,NA,4,0,30,70,50,5,8
"190",190,4,1,32,1,0,4,NA,1,85,60,70,1,22
"193",193,4,2,32,1,3,3,NA,0,0,85,15,1,20
"197",197,4,2,56,0,NA,NA,1,0,30,50,30,5,15
"202",202,4,2,45,1,7,2,NA,1,70,15,60,2,25
"206",206,4,1,63,1,7,0,NA,0,50,60,60,1,NA
"213",213,4,1,18,0,0,0,NA,0,30,50,40,5,17
"214",214,4,2,40,0,7,4,NA,0,0,85,0,1,18
"215",215,4,1,50,1,6,7,NA,0,30,85,50,1,13
"216",216,4,1,27,1,3,0,NA,0,40,100,30,1,13
"217",217,4,1,26,0,NA,NA,1,0,60,30,100,3,NA
"220",220,4,1,18,0,3,3,NA,0,0,70,70,2,NA
"223",223,4,1,46,1,NA,NA,1,1,85,50,70,2,17
"224",224,4,1,18,0,0,0,NA,0,15,100,15,3,NA
"225",225,4,1,36,1,NA,NA,3,0,15,85,50,1,19
"228",228,4,1,18,0,0,0,NA,0,40,70,40,1,NA
"229",229,4,1,45,1,0,0,NA,0,50,100,40,1,19
