"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"2",2,1,2,58,1,0,3,NA,1,60,0,70,1,13
"3",3,1,2,39,1,3,0,NA,0,85,30,60,2,21
"4",4,1,2,49,0,3,7,NA,0,50,55,70,5,21
"5",5,1,2,72,1,7,3,NA,1,70,30,70,2,19
"6",6,1,2,71,1,1,7,NA,1,70,0,85,2,18
"7",7,1,2,66,1,7,7,NA,1,85,15,70,3,15
"8",8,1,2,56,1,NA,NA,0,0,70,30,70,5,20
"9",9,1,2,40,1,NA,NA,1,1,85,40,85,2,19
"11",11,1,2,84,1,6,3,NA,0,60,30,85,3,18
"12",12,1,2,55,1,7,1,NA,0,85,0,85,2,21
"13",13,1,2,30,1,5,1,NA,0,70,15,60,2,21
"14",14,1,2,79,1,NA,NA,0,1,100,0,70,2,NA
"15",15,1,2,77,1,4,3,NA,1,70,15,85,3,NA
"16",16,1,2,72,1,NA,NA,0,0,70,85,85,3,NA
"18",18,1,2,27,0,2,0,NA,0,15,40,40,3,20
"19",19,1,2,61,1,7,0,NA,0,30,40,85,1,17
"20",20,1,2,50,1,NA,NA,4,1,85,0,70,2,22
"21",21,1,2,31,1,1,1,NA,0,40,40,70,3,NA
"22",22,1,2,87,1,7,7,NA,0,30,60,60,3,NA
"24",24,1,1,29,0,NA,NA,4,0,30,100,0,1,13
"25",25,1,1,18,0,NA,NA,3,0,30,85,15,1,10
"26",26,1,2,55,1,7,1,NA,0,0,70,30,1,12
"27",27,1,1,43,0,7,0,NA,0,40,85,50,4,13
"28",28,1,2,40,0,2,3,NA,1,60,30,70,1,NA
"29",29,1,1,55,0,NA,NA,1,0,NA,NA,60,1,14
"31",31,1,2,60,1,NA,NA,7,0,60,15,85,2,NA
"32",32,1,2,78,1,1,7,NA,0,100,40,100,2,19
"33",33,1,2,57,1,2,7,NA,1,60,40,85,2,21
"34",34,1,2,53,1,7,7,NA,0,0,100,15,3,8
"35",35,1,2,29,NA,NA,NA,7,0,30,70,60,3,19
"38",38,1,1,52,1,NA,NA,7,0,1,70,80,1,NA
"39",39,1,2,24,1,NA,NA,7,0,30,60,40,1,NA
"40",40,1,2,63,1,1,5,NA,0,25,85,35,1,21
"43",43,1,2,52,1,NA,NA,7,0,40,60,60,1,18
"44",44,1,2,53,1,NA,NA,7,0,0,70,15,4,24
"46",46,1,2,60,0,0,3,NA,0,15,70,60,NA,NA
"47",47,1,1,38,1,NA,NA,3,0,0,80,50,1,NA
"48",48,1,2,33,1,1,7,NA,0,0,70,30,3,20
"49",49,1,2,49,1,NA,NA,5,1,70,40,60,2,21
"50",50,1,2,28,0,NA,NA,2,0,0,85,40,1,NA
"51",51,1,2,59,1,NA,NA,7,0,15,85,70,1,23
"53",53,1,2,41,1,NA,NA,2,1,60,50,70,2,NA
"54",54,1,2,25,1,NA,NA,0,0,30,70,40,3,15
"55",55,1,2,45,1,0,0,NA,0,0,70,40,2,11
"56",56,1,1,65,1,NA,NA,0,1,50,50,50,2,9
"57",57,1,2,33,0,0,0,NA,0,40,60,40,3,17
"58",58,1,2,45,0,6,1,NA,1,70,85,50,3,NA
"59",59,1,2,30,0,4,1,NA,0,30,85,50,3,NA
"60",60,1,2,78,1,7,7,NA,1,70,40,85,NA,NA
"61",61,1,1,32,1,NA,NA,2,0,15,85,60,3,19
"62",62,1,2,61,1,2,0,NA,1,77,30,70,3,NA
"64",64,1,2,53,0,7,0,NA,0,30,85,85,3,25
"65",65,1,2,28,1,NA,NA,7,0,0,85,15,1,14
"66",66,1,2,28,1,0,0,NA,0,15,85,30,1,18
"67",67,1,2,90,1,7,7,NA,NA,100,50,70,2,17
"68",68,1,2,40,1,NA,NA,7,0,0,85,30,1,25
"69",69,1,2,66,1,NA,NA,0,0,0,85,15,1,25
"70",70,1,2,42,0,0,7,NA,0,0,100,0,1,25
"71",71,1,2,47,1,NA,NA,6,0,0,80,0,3,NA
"76",76,1,2,58,1,NA,NA,0,0,0,100,30,1,NA
"77",77,1,2,32,1,NA,NA,6,0,0,100,30,1,19
"78",78,1,2,36,0,1,3,NA,1,60,70,85,3,NA
"81",81,1,1,35,1,0,7,NA,0,0,70,60,1,18
"82",82,1,2,28,0,NA,NA,3,1,85,50,70,3,18
"85",85,1,2,35,1,NA,NA,5,1,60,40,70,2,20
"86",86,1,1,25,0,1,0,NA,1,60,0,60,3,16
"87",87,1,1,51,1,NA,NA,5,0,60,0,100,1,14
"88",88,1,2,38,1,NA,NA,3,0,30,50,85,2,18
"89",89,1,1,52,1,NA,NA,0,0,15,60,40,1,11
"90",90,1,2,27,0,1,3,NA,0,60,50,70,3,17
"91",91,1,1,53,1,NA,NA,5,1,85,40,100,1,18
"93",93,1,2,25,1,NA,NA,5,1,85,50,100,2,NA
"94",94,1,1,51,0,2,2,NA,0,60,85,60,4,12
"95",95,1,1,45,0,NA,NA,7,0,30,60,50,1,NA
"96",96,1,2,24,0,NA,NA,0,0,30,60,30,5,2
"97",97,1,1,25,1,NA,NA,0,0,15,85,30,3,NA
"98",98,1,1,28,0,1,0,NA,0,50,60,40,1,19
"101",101,1,2,54,1,0,0,NA,0,60,85,60,3,NA
"103",103,1,2,23,0,0,0,NA,1,70,50,50,3,10
"106",106,1,1,61,1,NA,NA,0,0,60,85,40,1,5
"110",110,1,1,60,1,NA,NA,6,0,0,0,85,1,19
"116",116,1,1,55,1,NA,NA,5,0,0,85,30,1,17
"124",124,1,2,60,0,NA,NA,0,0,0,60,0,1,NA
"125",125,1,1,31,0,NA,NA,3,0,40,50,70,2,20
"126",126,1,2,53,1,NA,NA,7,0,40,60,50,5,19
"127",127,1,2,65,1,NA,NA,0,0,0,60,50,1,NA
"128",128,1,2,26,0,7,2,NA,0,50,70,30,3,NA
"129",129,1,2,75,1,7,6,NA,1,85,40,85,2,NA
"130",130,1,2,26,0,NA,NA,0,0,60,50,50,3,NA
"131",131,1,2,58,1,0,0,NA,0,0,100,30,3,18
"132",132,1,2,50,1,1,0,NA,0,15,85,30,1,14
"133",133,1,2,35,1,0,3,NA,0,15,15,15,3,15
"134",134,1,2,52,0,NA,NA,0,0,30,70,50,2,18
"135",135,1,2,18,0,2,1,NA,1,50,50,50,1,17
"137",137,1,2,52,1,NA,NA,0,1,40,50,50,2,14
"139",139,1,2,76,1,NA,NA,2,0,60,15,60,2,21
"140",140,1,2,56,0,0,0,NA,0,0,85,50,5,NA
"141",141,1,2,53,1,0,3,NA,1,100,0,70,2,25
"142",142,1,2,78,1,5,0,NA,0,40,85,60,1,NA
"143",143,1,2,39,0,NA,NA,3,0,40,85,50,1,NA
"144",144,1,2,58,1,7,6,NA,0,50,30,60,3,19
"145",145,1,2,31,1,0,0,NA,0,40,30,60,2,20
"146",146,1,2,64,1,NA,NA,0,0,0,100,40,1,25
"147",147,1,2,65,1,NA,NA,7,1,70,0,60,3,18
"148",148,1,2,57,0,NA,NA,5,0,0,0,0,NA,20
"149",149,1,2,66,0,NA,NA,0,0,15,50,40,3,NA
"150",150,1,2,60,1,NA,NA,0,0,0,100,40,1,19
"151",151,1,2,46,1,3,0,NA,0,15,85,30,1,15
"152",152,1,2,57,1,NA,NA,7,1,85,15,70,2,25
"153",153,1,2,42,1,NA,NA,5,1,100,60,85,2,24
"154",154,1,2,59,1,6,4,NA,0,0,100,30,3,NA
"155",155,1,2,64,0,NA,NA,0,0,40,85,60,3,9
"156",156,1,2,65,1,NA,NA,3,0,0,85,15,1,17
"157",157,1,2,45,1,NA,NA,7,0,30,60,30,3,18
"158",158,1,2,NA,1,NA,NA,1,0,0,85,15,1,19
"159",159,1,2,56,NA,NA,NA,0,1,70,50,70,1,15
"160",160,1,2,26,1,2,0,NA,0,30,70,50,3,13
"161",161,1,2,35,0,0,0,NA,1,60,60,50,4,19
"164",164,1,1,85,1,NA,NA,0,0,0,50,40,1,NA
"166",166,1,2,26,1,NA,NA,7,1,70,100,50,3,NA
"167",167,1,2,46,0,NA,NA,0,0,30,NA,70,1,4
"174",174,1,1,76,1,0,7,NA,1,100,0,100,2,NA
"176",176,1,2,60,1,NA,NA,7,0,30,85,40,1,NA
"177",177,1,2,50,1,NA,NA,6,0,30,70,60,1,NA
"178",178,1,2,40,1,2,5,NA,0,0,85,40,1,19
"179",179,1,2,58,1,5,3,NA,0,15,50,40,3,NA
"180",180,1,2,75,1,NA,NA,0,1,85,30,100,2,8
"181",181,1,2,85,1,NA,NA,0,0,30,70,50,1,9
"182",182,1,2,65,1,NA,NA,0,NA,100,30,70,2,NA
"186",186,1,2,72,0,NA,NA,0,0,70,70,60,5,6
"187",187,1,2,45,0,NA,NA,7,0,40,40,40,5,25
"188",188,1,2,45,1,0,1,NA,0,15,70,15,1,24
"189",189,1,2,46,1,0,2,NA,1,60,30,60,2,21
"191",191,1,2,36,0,2,0,NA,0,30,40,70,3,18
"192",192,1,1,61,1,NA,NA,5,1,70,40,85,2,17
"194",194,1,2,72,1,7,2,NA,1,70,65,50,3,14
"195",195,1,2,34,0,0,0,NA,1,70,60,50,2,25
"196",196,1,2,46,1,NA,NA,1,0,40,40,60,2,24
"198",198,1,2,61,1,7,7,NA,0,70,40,85,3,25
"199",199,1,2,52,1,NA,NA,5,1,70,0,100,5,NA
"200",200,1,2,55,1,NA,NA,0,0,30,85,NA,3,16
"201",201,1,2,20,1,5,1,NA,0,50,85,60,3,20
"203",203,1,2,46,1,NA,NA,0,0,30,60,50,3,18
"204",204,1,2,65,1,NA,NA,7,0,60,15,60,2,19
"205",205,1,2,41,0,7,7,NA,1,85,15,85,2,NA
"207",207,1,2,70,1,2,7,NA,1,60,40,60,2,NA
"208",208,1,2,73,1,7,7,NA,0,40,60,60,3,NA
"209",209,1,2,68,1,NA,NA,3,1,70,30,70,2,18
"210",210,1,2,45,1,NA,NA,5,1,100,30,100,2,25
"211",211,1,2,77,1,NA,NA,5,0,60,30,70,2,NA
"222",222,1,2,43,1,2,0,NA,0,0,70,40,1,20
"226",226,1,1,44,0,NA,NA,0,0,50,50,50,5,13
"227",227,1,1,59,0,2,7,NA,0,85,70,60,1,13
"233",233,1,2,44,0,1,0,NA,0,15,85,50,1,NA
"236",236,1,2,49,1,7,7,NA,0,40,60,70,3,18
